Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
EWZ,24.67,Put,24.50,05/01/20,1,0.28,0.29,0.30,0.29,10421,909,11.46,71.91%,04/30/20
EWZ,24.67,Put,23.00,05/08/20,8,0.38,0.41,0.43,0.43,5037,443,11.37,75.72%,04/30/20
VXX,37.87,Call,41.00,05/01/20,1,0.19,0.21,0.23,0.22,15799,1464,10.79,143.30%,04/30/20
SPY,290.48,Put,289.00,05/04/20,4,2.60,2.64,2.67,2.65,13569,1312,10.34,27.73%,04/30/20
XLU,57.26,Call,55.00,05/15/20,15,2.75,2.9,3.05,3.00,1785,173,10.32,35.31%,04/30/20
TNA,22.47,Put,18.00,05/08/20,8,0.40,0.45,0.49,0.40,2305,228,10.11,154.06%,04/30/20
FXI,38.59,Put,39.00,05/01/20,1,0.46,0.5,0.53,0.57,12755,1261,10.11,40.21%,04/30/20
FXI,38.59,Put,38.50,05/08/20,8,0.62,0.66,0.70,0.72,1171,116,10.09,33.80%,04/30/20
XLI,64.21,Put,62.00,05/01/20,1,0.05,0.08,0.10,0.10,1515,154,9.84,55.28%,04/30/20
SPY,290.48,Put,285.00,05/04/20,4,1.40,1.42,1.45,1.45,31373,3203,9.79,29.53%,04/30/20
EWZ,24.67,Put,20.00,05/22/20,22,0.29,0.32,0.34,0.34,1001,106,9.44,82.03%,04/30/20
IWM,130.31,Put,122.50,05/15/20,15,2.02,2.05,2.08,1.90,3124,332,9.41,47.54%,04/30/20
EFA,56.57,Put,45.00,11/20/20,204,1.10,1.43,1.76,1.37,1250,133,9.4,35.60%,04/30/20
GLD,158.8,Put,147.00,05/08/20,8,0.08,0.13,0.17,0.16,1542,166,9.29,32.23%,04/30/20
FXC,70.86,Call,68.00,06/19/20,50,2.90,3,3.10,3.00,2807,302,9.29,6.31%,04/30/20
SPY,290.48,Call,292.00,05/04/20,4,2.06,2.08,2.10,2.06,20527,2243,9.15,22.50%,04/30/20
SMH,133.73,Put,110.00,05/22/20,22,0.49,0.6,0.71,0.56,1551,171,9.07,55.64%,04/30/20
XLY,116.6,Call,117.00,05/01/20,1,0.00,0.24,0.47,0.20,975,111,8.78,14.93%,04/30/20
SPY,290.48,Put,287.00,05/18/20,18,6.19,6.24,6.29,6.36,1502,171,8.78,31.52%,04/30/20
XOP,54.36,Put,52.00,05/15/20,15,2.07,2.16,2.24,2.08,1192,136,8.76,72.87%,04/30/20
SPY,290.48,Put,270.00,06/01/20,32,4.46,4.52,4.57,4.62,4278,497,8.61,37.28%,04/30/20
AMLP,5.13,Put,5.00,01/15/21,260,0.90,0.95,1.00,0.85,7506,879,8.54,55.59%,04/30/20
XLE,38,Put,38.00,05/01/20,1,0.16,0.5,0.84,0.55,5433,649,8.37,69.40%,04/30/20
QQQ,218.91,Put,175.00,06/18/21,414,10.37,11.59,12.82,11.64,1047,127,8.24,35.45%,04/30/20
LABU,36.9,Call,40.00,06/19/20,50,4.70,5.05,5.40,5.00,5055,618,8.18,113.75%,04/30/20
XLV,99.73,Call,105.00,06/19/20,50,1.20,1.32,1.43,1.20,3554,450,7.9,20.55%,04/30/20
KRE,38.13,Put,35.00,07/17/20,78,0.30,2.53,4.75,2.27,10120,1286,7.87,54.51%,04/30/20
XLY,116.6,Call,117.50,05/01/20,1,0.00,0.2,0.40,0.58,1040,133,7.82,39.37%,04/30/20
XOP,54.36,Call,57.00,05/01/20,1,0.21,0.25,0.29,0.31,1393,185,7.53,102.61%,04/30/20
FXI,38.59,Put,38.00,05/22/20,22,0.82,0.87,0.91,0.86,5021,682,7.36,30.49%,04/30/20
EWJ,51.76,Put,49.50,05/15/20,15,0.35,0.39,0.43,0.45,3052,437,6.98,31.32%,04/30/20
SPY,290.48,Put,291.00,05/01/20,1,2.44,2.48,2.52,2.49,46615,6676,6.98,36.66%,04/30/20
SPY,290.48,Put,290.00,05/04/20,4,3.02,3.05,3.09,3.09,17450,2561,6.81,27.59%,04/30/20
XOP,54.36,Put,50.00,05/15/20,15,1.48,1.54,1.59,1.50,1313,193,6.8,76.69%,04/30/20
SPY,290.48,Put,262.00,08/21/20,113,10.90,10.97,11.03,11.23,900,133,6.77,37.76%,04/30/20
XLU,57.26,Put,57.00,06/19/20,50,1.76,2.46,3.15,2.41,2268,336,6.75,30.70%,04/30/20
EEM,36.64,Put,36.50,05/15/20,15,0.73,0.89,1.05,1.00,1111,168,6.61,36.46%,04/30/20
SLV,13.98,Call,14.00,06/19/20,50,0.70,0.72,0.74,0.73,11308,1723,6.56,35.29%,04/30/20
SPY,290.48,Call,290.00,05/06/20,6,4.08,4.12,4.16,4.04,11305,1735,6.52,25.35%,04/30/20
GLD,158.8,Call,185.00,01/15/21,260,4.80,4.93,5.05,4.95,20280,3123,6.49,24.22%,04/30/20
SPY,290.48,Put,277.00,05/04/20,4,0.32,0.33,0.34,0.33,11708,1807,6.48,31.97%,04/30/20
EWZ,24.67,Call,26.00,05/08/20,8,0.31,0.34,0.37,0.37,1133,177,6.4,58.67%,04/30/20
EWU,25.25,Put,22.00,07/17/20,78,0.50,0.58,0.65,0.55,5257,821,6.4,39.70%,04/30/20
SPY,290.48,Put,292.00,05/01/20,1,3.02,3.07,3.12,3.01,48503,7625,6.36,35.72%,04/30/20
UNG,13.41,Call,14.00,10/16/20,169,1.90,1.96,2.03,2.00,4630,753,6.15,60.95%,04/30/20
TQQQ,69.77,Put,67.00,05/08/20,8,3.25,3.28,3.30,3.20,660,108,6.11,96.73%,04/30/20
VXX,37.87,Put,28.00,01/15/21,260,5.40,5.65,5.90,5.70,4000,666,6.01,93.18%,04/30/20
IWM,130.31,Put,129.00,05/01/20,1,0.87,0.91,0.95,1.02,9450,1579,5.98,58.79%,04/30/20
IWM,130.31,Call,132.00,05/01/20,1,0.78,0.82,0.85,0.79,7575,1296,5.84,54.15%,04/30/20
XLE,38,Put,36.50,05/01/20,1,0.00,0.12,0.24,0.14,966,167,5.78,80.12%,04/30/20
QQQ,218.91,Put,219.00,05/01/20,1,2.09,2.24,2.38,2.28,10009,1737,5.76,48.96%,04/30/20
QQQ,218.91,Call,219.00,07/17/20,78,11.52,11.65,11.78,12.02,1627,291,5.59,29.20%,04/30/20
XLE,38,Put,37.21,06/19/20,50,2.42,2.68,2.93,2.51,1009,182,5.54,52.68%,04/30/20
SPXL,35.75,Put,36.00,06/19/20,50,4.40,4.55,4.70,4.60,572,104,5.5,85.49%,04/30/20
QQQ,218.91,Put,195.50,05/08/20,8,0.25,0.31,0.36,0.28,1306,243,5.37,45.99%,04/30/20
QQQ,218.91,Put,194.50,05/08/20,8,0.21,0.27,0.33,0.30,1320,247,5.34,48.33%,04/30/20
SPY,290.48,Put,288.00,05/18/20,18,6.54,6.58,6.62,6.72,645,122,5.29,31.16%,04/30/20
IWM,130.31,Put,131.00,05/08/20,8,3.82,3.88,3.93,3.90,2570,486,5.29,46.20%,04/30/20
LIT,25.4,Put,24.00,05/15/20,15,0.10,0.33,0.55,0.39,542,103,5.26,46.63%,04/30/20
EMB,100.5,Put,85.00,06/19/20,50,0.60,0.75,0.90,0.69,5814,1110,5.24,37.51%,04/30/20
SMH,133.73,Put,108.00,06/19/20,50,1.55,1.6,1.64,1.57,2163,414,5.22,52.51%,04/30/20
SPY,290.48,Call,295.00,05/04/20,4,1.00,1.03,1.05,1.03,23699,4604,5.15,22.07%,04/30/20
SPY,290.48,Call,290.00,06/03/20,34,10.04,10.11,10.18,10.48,697,138,5.05,28.50%,04/30/20
SPY,290.48,Call,292.50,05/01/20,1,0.91,0.94,0.96,0.88,20308,4019,5.05,27.92%,04/30/20
SPY,290.48,Call,301.00,05/04/20,4,0.18,0.19,0.20,0.17,5678,1128,5.03,21.66%,04/30/20
SLV,13.98,Call,13.50,05/08/20,8,0.63,0.64,0.65,0.62,851,170,5.01,39.68%,04/30/20
SDS,22.9,Call,23.00,05/08/20,8,0.58,0.7,0.81,0.75,1303,264,4.94,58.74%,04/30/20
TQQQ,69.77,Put,69.50,05/01/20,1,2.38,2.4,2.42,2.44,977,198,4.93,127.36%,04/30/20
SPY,290.48,Call,293.00,05/01/20,1,0.76,0.79,0.81,0.76,47290,9668,4.89,28.46%,04/30/20
IWM,130.31,Call,143.00,06/19/20,50,2.03,2.06,2.09,2.04,5630,1157,4.87,31.97%,04/30/20
IWM,130.31,Put,131.50,05/01/20,1,1.99,2.07,2.14,2.06,1366,282,4.84,50.76%,04/30/20
SPY,290.48,Call,290.00,05/01/20,1,1.97,1.99,2.01,2.02,104555,21708,4.82,29.11%,04/30/20
SPY,290.48,Call,300.00,06/01/20,32,4.29,4.35,4.40,4.38,2960,616,4.81,23.43%,04/30/20
EWU,25.25,Put,20.00,07/17/20,78,0.35,0.38,0.40,0.38,8471,1768,4.79,48.59%,04/30/20
XBI,93.39,Put,90.00,05/08/20,8,1.09,1.17,1.24,1.12,596,125,4.77,45.44%,04/30/20
SQQQ,11.58,Call,18.00,09/18/20,141,1.90,1.97,2.05,2.00,2218,470,4.72,127.45%,04/30/20
SPY,290.48,Put,235.00,05/27/20,27,0.80,0.83,0.85,0.82,801,172,4.66,49.10%,04/30/20
XLV,99.73,Put,88.33,06/19/20,50,0.36,0.91,1.46,1.01,3500,754,4.64,33.85%,04/30/20
IWM,130.31,Put,108.00,06/05/20,36,1.08,1.12,1.15,1.03,519,112,4.63,49.95%,04/30/20
XLV,99.73,Put,98.00,06/19/20,50,2.25,2.75,3.25,3.35,7103,1542,4.61,29.04%,04/30/20
IWM,130.31,Put,128.00,06/19/20,50,6.63,6.69,6.74,6.69,2604,568,4.58,41.46%,04/30/20
SDS,22.9,Put,22.50,05/01/20,1,0.06,0.12,0.17,0.16,2149,471,4.56,67.82%,04/30/20
EEM,36.64,Put,33.73,09/30/20,153,1.61,1.83,2.05,1.91,1092,240,4.55,35.65%,04/30/20
SPY,290.48,Put,287.50,05/01/20,1,1.07,1.09,1.11,1.08,21332,4689,4.55,37.59%,04/30/20
SPY,290.48,Put,288.00,05/04/20,4,2.24,2.27,2.30,2.28,6841,1510,4.53,28.09%,04/30/20
IWM,130.31,Put,132.00,05/15/20,15,5.32,5.39,5.45,5.40,6127,1361,4.5,42.86%,04/30/20
SPY,290.48,Call,291.00,05/06/20,6,3.53,3.57,3.61,3.55,7309,1624,4.5,25.39%,04/30/20
EWJ,51.76,Call,52.00,06/19/20,50,1.57,1.65,1.72,1.60,733,164,4.47,21.87%,04/30/20
XLY,116.6,Put,115.00,05/01/20,1,0.00,2.43,4.85,1.00,783,176,4.45,69.55%,04/30/20
EEM,36.64,Call,37.23,06/19/20,50,1.19,1.35,1.50,1.27,3643,825,4.42,27.87%,04/30/20
BNO,7.02,Call,16.00,10/16/20,169,0.20,0.28,0.35,0.20,1910,434,4.4,83.91%,04/30/20
VXX,37.87,Put,32.00,07/17/20,78,3.20,3.28,3.35,3.30,6131,1431,4.28,91.00%,04/30/20
IWM,130.31,Call,135.00,05/01/20,1,0.14,0.18,0.21,0.13,18442,4411,4.18,48.90%,04/30/20
SPY,290.48,Put,305.00,05/01/20,1,14.86,14.98,15.10,14.01,654,157,4.17,0.00%,04/30/20
SPXU,15.38,Call,15.50,05/08/20,8,0.70,0.73,0.75,0.75,956,234,4.09,88.52%,04/30/20
VXX,37.87,Put,34.50,05/15/20,15,1.12,1.17,1.21,1.07,1724,428,4.03,81.91%,04/30/20
SPY,290.48,Put,290.00,05/01/20,1,1.95,1.96,1.96,2.03,148073,36829,4.02,37.40%,04/30/20
SPY,290.48,Call,289.00,05/01/20,1,2.54,2.58,2.61,2.60,23863,5962,4,29.01%,04/30/20
VXX,37.87,Call,57.00,07/17/20,78,2.58,2.64,2.70,2.56,724,182,3.98,106.16%,04/30/20
SPY,290.48,Put,285.00,05/01/20,1,0.54,0.55,0.56,0.56,67788,17041,3.98,39.17%,04/30/20
QQQ,218.91,Put,219.00,05/08/20,8,4.47,4.58,4.69,4.55,6328,1592,3.97,35.08%,04/30/20
SPY,290.48,Put,286.00,05/04/20,4,1.64,1.67,1.70,1.70,8442,2126,3.97,29.13%,04/30/20
IWM,130.31,Put,130.00,05/01/20,1,1.25,1.28,1.30,1.36,27974,7118,3.93,55.64%,04/30/20
SQQQ,11.58,Call,10.50,05/01/20,1,0.95,1.05,1.15,1.25,504,130,3.88,238.38%,04/30/20
SPY,290.48,Put,286.00,05/01/20,1,0.72,0.74,0.75,0.77,35697,9195,3.88,39.35%,04/30/20
SPY,290.48,Call,289.00,05/04/20,4,3.59,3.64,3.69,3.64,3016,784,3.85,23.26%,04/30/20
SPY,290.48,Call,296.00,05/01/20,1,0.25,0.26,0.27,0.26,29979,7783,3.85,30.00%,04/30/20
SPY,290.48,Put,287.00,05/04/20,4,1.93,1.96,1.98,1.97,5923,1568,3.78,28.60%,04/30/20
SPY,290.48,Call,294.00,05/01/20,1,0.53,0.54,0.54,0.52,29630,7832,3.78,28.52%,04/30/20
SPY,290.48,Call,291.00,05/04/20,4,2.52,2.55,2.58,2.58,12149,3229,3.76,23.17%,04/30/20
SPY,290.48,Put,290.00,05/22/20,22,8.28,8.34,8.39,8.32,3894,1047,3.72,30.51%,04/30/20
LQD,129.17,Call,131.00,05/08/20,8,0.10,0.15,0.20,0.18,570,154,3.7,9.95%,04/30/20
EFA,56.57,Put,45.00,12/18/20,232,1.22,1.63,2.04,1.45,1000,270,3.7,34.22%,04/30/20
GDX,32.26,Call,33.50,05/08/20,8,0.52,0.54,0.56,0.54,2214,599,3.7,53.67%,04/30/20
QQQ,218.91,Call,219.00,05/08/20,8,3.49,3.57,3.65,3.44,2238,609,3.67,26.72%,04/30/20
SPY,290.48,Put,288.00,05/01/20,1,1.22,1.24,1.26,1.27,84620,23384,3.62,38.15%,04/30/20
UCO,14.63,Call,15.00,05/01/20,1,0.41,0.43,0.45,0.45,1392,386,3.61,199.62%,04/30/20
TZA,33.6,Call,36.00,05/01/20,1,0.32,0.47,0.62,0.35,514,143,3.59,162.74%,04/30/20
GDX,32.26,Call,32.50,05/08/20,8,0.88,0.91,0.94,0.91,816,227,3.59,53.42%,04/30/20
SPY,290.48,Put,287.00,05/01/20,1,0.94,0.96,0.97,0.97,37529,10566,3.55,38.27%,04/30/20
VXX,37.87,Call,47.00,06/19/20,50,2.90,2.97,3.05,2.82,8005,2273,3.52,102.34%,04/30/20
SPY,290.48,Put,289.00,05/01/20,1,1.55,1.58,1.60,1.60,91413,25992,3.52,37.48%,04/30/20
SPY,290.48,Call,299.00,05/06/20,6,0.76,0.78,0.80,0.75,3098,885,3.5,22.88%,04/30/20
SPY,290.48,Call,291.00,05/08/20,8,4.39,4.43,4.47,4.40,26467,7554,3.5,26.89%,04/30/20
SPY,290.48,Put,269.00,05/06/20,6,0.35,0.37,0.38,0.36,956,275,3.48,38.70%,04/30/20
SPY,290.48,Put,283.00,05/01/20,1,0.29,0.31,0.33,0.31,33488,9626,3.48,40.18%,04/30/20
SLV,13.98,Put,14.00,06/19/20,50,0.72,0.73,0.74,0.74,10516,3050,3.45,35.99%,04/30/20
SPY,290.48,Call,307.00,08/21/20,113,9.02,9.08,9.14,9.35,884,260,3.4,23.96%,04/30/20
SPY,290.48,Call,289.00,08/21/20,113,18.77,18.85,18.93,18.65,773,230,3.36,26.99%,04/30/20
SPY,290.48,Call,294.00,05/11/20,11,3.31,3.35,3.39,3.69,1519,457,3.32,25.79%,04/30/20
SPY,290.48,Put,290.00,05/06/20,6,4.09,4.12,4.15,4.15,8806,2650,3.32,29.75%,04/30/20
IWM,130.31,Call,133.00,05/01/20,1,0.47,0.51,0.55,0.42,24901,7502,3.32,49.54%,04/30/20
XLY,116.6,Call,120.00,05/08/20,8,0.00,2.5,5.00,0.83,565,171,3.3,30.03%,04/30/20
TLT,166.74,Call,170.00,05/08/20,8,0.67,0.74,0.80,0.81,4242,1294,3.28,20.35%,04/30/20
TLT,166.74,Call,175.00,07/17/20,78,2.32,2.43,2.53,2.57,8738,2661,3.28,17.88%,04/30/20
URA,10.83,Call,15.00,10/16/20,169,0.10,0.15,0.20,0.15,510,157,3.25,36.72%,04/30/20
GDX,32.26,Put,32.50,05/08/20,8,1.11,1.15,1.18,1.17,562,173,3.25,54.95%,04/30/20
QQQ,218.91,Put,214.00,05/01/20,1,0.43,0.51,0.58,0.53,9683,2977,3.25,47.61%,04/30/20
EEM,36.64,Put,35.00,06/05/20,36,0.79,0.94,1.09,0.93,1676,519,3.23,36.50%,04/30/20
SPY,290.48,Put,284.00,05/01/20,1,0.40,0.41,0.42,0.42,17321,5372,3.22,39.70%,04/30/20
SPXU,15.38,Call,16.00,05/08/20,8,0.55,0.65,0.75,0.60,1528,487,3.14,94.36%,04/30/20
KRE,38.13,Put,32.00,05/15/20,15,0.22,0.26,0.30,0.23,10120,3264,3.1,67.95%,04/30/20
IWM,130.31,Call,148.00,09/18/20,141,3.49,3.56,3.63,3.80,753,244,3.09,29.41%,04/30/20
QQQ,218.91,Call,222.00,05/01/20,1,0.31,0.38,0.44,0.34,6769,2258,3,29.55%,04/30/20
SPY,290.48,Put,290.00,05/08/20,8,4.95,4.97,4.98,4.95,21330,7113,3,30.49%,04/30/20
IWM,130.31,Put,94.00,08/21/20,113,1.72,1.77,1.81,1.69,778,260,2.99,49.46%,04/30/20
SPY,290.48,Put,295.00,09/30/20,153,24.40,24.7,24.99,24.24,1164,391,2.98,30.20%,04/30/20
VXX,37.87,Put,36.00,05/01/20,1,0.09,0.13,0.17,0.14,13254,4452,2.98,93.36%,04/30/20
SPY,290.48,Call,296.00,05/04/20,4,0.76,0.79,0.81,0.78,11208,3786,2.96,21.82%,04/30/20
SQQQ,11.58,Call,12.00,09/18/20,141,2.75,2.83,2.90,2.95,2312,801,2.89,109.31%,04/30/20
AMLP,5.13,Call,6.00,01/15/21,260,0.35,0.45,0.55,0.50,7511,2598,2.89,45.73%,04/30/20
SPY,290.48,Put,291.00,05/04/20,4,3.48,3.53,3.57,3.69,6605,2319,2.85,28.38%,04/30/20
XLB,51.88,Put,50.00,06/19/20,50,1.58,1.98,2.37,1.85,628,221,2.84,36.24%,04/30/20
NUGT,62.54,Call,67.00,05/01/20,1,0.24,0.35,0.45,0.28,667,236,2.83,119.86%,04/30/20
XLE,38,Put,38.50,05/01/20,1,0.43,0.74,1.05,0.77,594,211,2.82,60.10%,04/30/20
SPY,290.48,Call,425.00,01/15/21,260,0.02,0.07,0.12,0.10,1024,363,2.82,17.53%,04/30/20
SPY,290.48,Call,307.00,05/18/20,18,0.87,0.89,0.90,0.97,844,300,2.81,22.05%,04/30/20
SPY,290.48,Put,283.00,05/04/20,4,1.00,1.02,1.04,1.02,4563,1626,2.81,30.04%,04/30/20
SPY,290.48,Put,291.00,05/08/20,8,5.38,5.43,5.47,5.60,5516,1963,2.81,31.33%,04/30/20
XLF,22.79,Put,19.50,05/22/20,22,0.11,0.19,0.27,0.14,501,179,2.8,51.74%,04/30/20
TQQQ,69.77,Call,61.00,05/01/20,1,7.60,7.65,7.70,7.62,1002,362,2.77,162.66%,04/30/20
SPXU,15.38,Call,15.50,05/01/20,1,0.20,0.28,0.35,0.26,1096,395,2.77,98.07%,04/30/20
FXI,38.59,Call,39.50,05/08/20,8,0.28,0.31,0.33,0.33,1860,672,2.77,29.84%,04/30/20
GLD,158.8,Put,153.00,05/08/20,8,0.37,0.44,0.50,0.44,1417,514,2.76,24.47%,04/30/20
SDS,22.9,Call,23.50,05/08/20,8,0.52,0.6,0.68,0.56,952,348,2.74,60.09%,04/30/20
TQQQ,69.77,Call,72.00,05/08/20,8,2.18,2.2,2.22,2.19,2357,860,2.74,89.64%,04/30/20
SPY,290.48,Put,288.00,05/06/20,6,3.29,3.33,3.36,3.40,3336,1219,2.74,30.81%,04/30/20
VXX,37.87,Put,32.00,05/22/20,22,0.81,0.85,0.89,0.87,1341,493,2.72,85.67%,04/30/20
VXX,37.87,Call,38.00,05/08/20,8,2.19,2.27,2.35,2.19,1931,709,2.72,100.49%,04/30/20
SPY,290.48,Call,300.00,05/04/20,4,0.24,0.25,0.25,0.27,21425,7869,2.72,22.37%,04/30/20
XLF,22.79,Put,19.00,07/17/20,78,0.51,0.54,0.57,0.55,34289,12670,2.71,49.04%,04/30/20
GLD,158.8,Put,157.50,05/01/20,1,0.20,0.39,0.57,0.37,1623,605,2.68,26.39%,04/30/20
TNA,22.47,Put,17.00,05/08/20,8,0.25,0.28,0.31,0.28,2005,749,2.68,161.76%,04/30/20
SDS,22.9,Call,23.00,05/01/20,1,0.22,0.29,0.35,0.24,3067,1153,2.66,59.86%,04/30/20
GDX,32.26,Call,32.50,05/01/20,1,0.29,0.31,0.33,0.29,1851,709,2.61,58.88%,04/30/20
QID,16.7,Call,40.00,10/16/20,169,0.73,0.86,0.98,1.00,500,192,2.6,106.24%,04/30/20
XLP,58.26,Put,58.50,05/15/20,15,0.90,1.38,1.86,1.10,3008,1167,2.58,21.02%,04/30/20
QQQ,218.91,Call,226.00,05/08/20,8,0.87,0.92,0.96,0.93,782,305,2.56,25.34%,04/30/20
SPY,290.48,Put,292.00,05/04/20,4,4.00,4.05,4.10,4.19,4996,1950,2.56,27.95%,04/30/20
QQQ,218.91,Call,219.00,05/01/20,1,1.15,1.27,1.39,1.18,12574,4945,2.54,26.70%,04/30/20
IWM,130.31,Call,155.00,06/19/20,50,0.30,0.32,0.35,0.38,14429,5756,2.51,29.44%,04/30/20
GLD,158.8,Call,159.50,05/01/20,1,0.41,0.62,0.82,0.67,1096,438,2.5,29.44%,04/30/20
UCO,14.63,Call,16.00,05/01/20,1,0.13,0.15,0.16,0.14,829,333,2.49,183.92%,04/30/20
SPY,290.48,Put,204.00,06/30/20,61,1.01,1.03,1.04,0.99,571,231,2.47,51.83%,04/30/20
TNA,22.47,Put,16.00,05/08/20,8,0.17,0.2,0.22,0.18,803,327,2.46,166.84%,04/30/20
IWM,130.31,Put,133.50,05/01/20,1,3.36,3.46,3.56,3.30,2249,913,2.46,35.75%,04/30/20
HYG,80.43,Put,65.00,07/17/20,78,0.54,0.58,0.61,0.56,14023,5699,2.46,36.17%,04/30/20
SPY,290.48,Call,292.00,05/06/20,6,3.03,3.07,3.10,3.09,4302,1754,2.45,25.34%,04/30/20
GLD,158.8,Call,210.00,03/19/21,323,3.25,3.45,3.65,3.50,554,228,2.43,27.17%,04/30/20
FAS,29.35,Call,30.00,05/08/20,8,1.15,1.29,1.43,1.43,691,284,2.43,98.92%,04/30/20
SMH,133.73,Put,129.00,05/15/20,15,2.74,2.86,2.97,2.74,890,368,2.42,44.83%,04/30/20
XOP,54.36,Put,35.00,06/19/20,50,0.51,0.55,0.59,0.55,1378,569,2.42,87.35%,04/30/20
XLE,38,Put,37.00,05/01/20,1,0.01,0.31,0.60,0.29,1761,729,2.42,86.33%,04/30/20
SPY,290.48,Call,297.00,05/04/20,4,0.58,0.6,0.62,0.62,9296,3864,2.41,22.12%,04/30/20
XLK,91.41,Put,91.00,05/01/20,1,0.01,0.51,1.00,0.70,594,247,2.4,46.81%,04/30/20
EWY,51.62,Put,51.00,05/15/20,15,1.20,1.29,1.37,1.37,3627,1513,2.4,40.35%,04/30/20
BNO,7.02,Call,12.00,07/17/20,78,0.15,0.22,0.30,0.25,2042,861,2.37,99.23%,04/30/20
IWM,130.31,Call,131.50,05/01/20,1,0.96,1,1.04,1.05,1423,602,2.36,57.52%,04/30/20
SPY,290.48,Put,279.00,05/04/20,4,0.48,0.49,0.50,0.52,2525,1068,2.36,31.89%,04/30/20
SPXL,35.75,Call,39.00,05/15/20,15,0.85,0.98,1.10,1.00,1290,550,2.35,74.80%,04/30/20
SPY,290.48,Put,235.00,06/05/20,36,1.34,1.36,1.38,1.43,657,281,2.34,48.29%,04/30/20
GDX,32.26,Put,29.00,05/08/20,8,0.13,0.16,0.18,0.16,768,328,2.34,60.96%,04/30/20
SPY,290.48,Put,257.00,05/22/20,22,1.88,1.9,1.93,2.04,663,285,2.33,45.24%,04/30/20
SMH,133.73,Put,134.00,05/01/20,1,1.28,1.64,2.00,1.60,564,245,2.3,52.36%,04/30/20
SPY,290.48,Call,294.00,05/08/20,8,2.92,2.95,2.97,2.89,5676,2472,2.3,25.48%,04/30/20
HYG,80.43,Call,78.00,05/01/20,1,2.27,2.38,2.48,2.37,1425,621,2.29,0.00%,04/30/20
SPY,290.48,Call,295.00,05/01/20,1,0.36,0.37,0.37,0.37,72198,31492,2.29,29.28%,04/30/20
IWM,130.31,Call,137.00,05/08/20,8,0.95,0.99,1.03,0.91,503,221,2.28,40.46%,04/30/20
SPY,290.48,Call,297.00,05/01/20,1,0.16,0.18,0.19,0.17,20483,8976,2.28,30.22%,04/30/20
XLE,38,Put,37.50,05/01/20,1,0.00,0.49,0.98,0.44,1733,762,2.27,83.81%,04/30/20
SPY,290.48,Put,293.00,05/04/20,4,4.59,4.64,4.69,4.83,3494,1536,2.27,28.32%,04/30/20
