Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
KRE,38.13,Put,34.00,05/15/20,15,0.40,0.92,1.44,0.44,10383,204,50.9,61.98%,04/30/20
EWJ,51.76,Put,41.00,09/18/20,141,0.65,0.68,0.71,0.69,9604,189,50.81,34.98%,04/30/20
VXX,37.87,Put,38.00,05/08/20,8,1.95,2,2.05,2.00,12658,411,30.8,86.65%,04/30/20
QQQ,218.91,Call,218.00,06/05/20,36,8.28,8.43,8.58,8.90,3066,106,28.92,30.33%,04/30/20
SPY,290.48,Put,289.00,05/06/20,6,3.65,3.7,3.74,3.70,12630,479,26.37,29.88%,04/30/20
GLD,158.8,Call,192.00,01/15/21,260,3.85,4.03,4.20,4.04,10129,392,25.84,25.17%,04/30/20
EFA,56.57,Put,55.50,05/01/20,1,0.00,0.1,0.20,0.10,2632,102,25.8,38.03%,04/30/20
LABU,36.9,Call,45.00,06/19/20,50,3.00,3.2,3.40,3.25,5027,198,25.39,108.46%,04/30/20
SPY,290.48,Put,289.00,05/11/20,11,5.03,5.08,5.13,5.14,2076,101,20.55,29.42%,04/30/20
VXX,37.87,Put,42.00,07/17/20,78,9.20,9.27,9.35,9.25,4005,214,18.71,96.90%,04/30/20
XLF,22.79,Call,25.00,07/17/20,78,0.60,0.65,0.70,0.65,35469,1954,18.15,33.71%,04/30/20
SMH,133.73,Put,120.00,05/22/20,22,1.51,1.64,1.77,1.56,3059,184,16.63,49.62%,04/30/20
GLD,158.8,Put,145.00,01/21/22,631,11.15,11.63,12.10,11.63,2225,136,16.36,24.12%,04/30/20
XOP,54.36,Put,47.00,05/15/20,15,0.85,0.9,0.94,0.88,3029,190,15.94,82.15%,04/30/20
SPY,290.48,Call,292.00,05/01/20,1,1.08,1.09,1.10,1.08,100460,6639,15.13,28.47%,04/30/20
XRT,36.68,Put,37.00,05/01/20,1,0.30,0.49,0.67,0.62,9071,611,14.85,57.53%,04/30/20
FXI,38.59,Put,39.50,05/01/20,1,0.86,0.92,0.98,0.88,10552,740,14.26,22.12%,04/30/20
GLD,158.8,Call,178.00,01/15/21,260,5.80,5.98,6.15,6.04,10126,732,13.83,23.06%,04/30/20
LQD,129.17,Call,131.00,06/19/20,50,0.95,1.05,1.15,1.10,3456,250,13.82,9.31%,04/30/20
SPY,290.48,Call,289.00,05/06/20,6,4.66,4.71,4.76,4.60,13428,1065,12.61,25.51%,04/30/20
LABU,36.9,Put,35.00,06/19/20,50,5.10,5.4,5.70,5.35,5005,425,11.78,119.44%,04/30/20
SPY,290.48,Call,291.00,05/01/20,1,1.48,1.51,1.54,1.48,80807,6915,11.69,28.38%,04/30/20
EWJ,51.76,Put,46.00,09/18/20,141,1.30,1.38,1.45,1.45,4748,414,11.47,30.67%,04/30/20
