Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
SPY,283.57,Call,365.00,09/17/21,501,3.17,3.34,3.51,3.30,648,292,2.22,16.43%,05/04/20
SPY,283.57,Call,288.00,05/11/20,7,2.03,2.06,2.09,2.07,973,441,2.21,24.48%,05/04/20
SQQQ,12.17,Call,16.00,05/22/20,18,0.30,0.38,0.45,0.40,680,309,2.2,133.87%,05/04/20
SPY,283.57,Put,269.00,05/06/20,2,0.12,0.13,0.14,0.12,3238,1470,2.2,39.91%,05/04/20
GDXJ,41.97,Put,41.00,05/08/20,4,0.76,0.8,0.85,0.82,515,236,2.18,72.04%,05/04/20
TNA,19.97,Call,20.00,05/08/20,4,1.30,1.34,1.37,1.35,2437,1141,2.14,163.58%,05/04/20
XLE,37.09,Call,37.21,06/19/20,46,2.69,2.83,2.96,2.75,2845,1327,2.14,52.95%,05/04/20
SPY,283.57,Put,277.00,05/22/20,18,6.05,6.09,6.12,5.99,1860,879,2.12,36.11%,05/04/20
SPY,283.57,Put,283.00,05/11/20,7,4.60,4.64,4.67,4.64,2790,1317,2.12,31.66%,05/04/20
IWM,125.68,Call,125.00,05/08/20,4,2.86,2.9,2.93,3.25,4099,1940,2.11,55.18%,05/04/20
SPY,283.57,Put,280.00,05/11/20,7,3.48,3.51,3.54,3.52,7030,3336,2.11,33.00%,05/04/20
GLD,160.34,Call,161.00,05/08/20,4,1.00,1.03,1.05,1.01,2924,1390,2.1,19.43%,05/04/20
IWM,125.68,Call,130.00,05/22/20,18,2.72,2.75,2.77,2.90,3195,1526,2.09,41.70%,05/04/20
SPY,283.57,Call,276.00,05/06/20,2,7.57,7.62,7.66,7.64,857,412,2.08,19.74%,05/04/20
UUP,26.97,Call,27.00,05/08/20,4,0.10,0.11,0.12,0.11,1026,494,2.08,10.88%,05/04/20
GDXJ,41.97,Put,40.00,06/19/20,46,2.78,2.84,2.90,2.77,522,255,2.05,63.92%,05/04/20
FAS,26.35,Call,30.00,05/08/20,4,0.15,0.18,0.20,0.20,879,433,2.03,108.21%,05/04/20
FXI,37.62,Put,34.00,01/21/22,627,3.85,4,4.15,4.05,3050,1503,2.03,32.56%,05/04/20
GDXJ,41.97,Call,60.00,11/20/20,200,3.10,3.25,3.40,3.25,531,264,2.01,65.24%,05/04/20
IEF,121.73,Put,116.00,12/18/20,228,0.35,1.05,1.75,1.05,616,306,2.01,9.08%,05/04/20
UVXY,45.98,Put,45.00,05/08/20,4,1.90,2.55,3.20,2.50,1422,709,2.01,156.37%,05/04/20
XLV,97.78,Call,97.50,05/15/20,11,1.65,1.95,2.24,2.06,705,352,2,28.06%,05/04/20
IWM,125.68,Put,120.00,06/18/21,410,14.15,14.58,15.00,15.11,4756,2401,1.98,36.26%,05/04/20
SPY,283.57,Put,225.00,06/12/20,39,1.31,1.33,1.35,1.35,716,367,1.95,49.31%,05/04/20
LABD,6.31,Call,7.00,05/08/20,4,0.15,0.18,0.20,0.20,582,302,1.93,167.92%,05/04/20
GDX,33.99,Call,36.00,05/08/20,4,0.21,0.24,0.27,0.21,2587,1341,1.93,59.42%,05/04/20
SPY,283.57,Call,298.00,05/26/20,22,1.58,1.61,1.63,1.79,590,308,1.92,23.18%,05/04/20
SPY,283.57,Call,287.00,05/29/20,25,6.75,6.79,6.83,6.90,1120,582,1.92,28.20%,05/04/20
SPY,283.57,Put,282.00,05/11/20,7,4.19,4.23,4.26,4.29,2038,1066,1.91,32.44%,05/04/20
IEF,121.73,Put,110.00,03/19/21,319,0.25,0.63,1.00,0.63,678,357,1.9,10.15%,05/04/20
XRT,35.85,Put,35.00,05/08/20,4,0.07,0.31,0.55,0.50,976,514,1.9,58.20%,05/04/20
LQD,128.54,Call,131.00,06/19/20,46,0.90,1.15,1.40,0.98,7020,3704,1.9,10.32%,05/04/20
NUGT,69.52,Call,75.00,05/08/20,4,1.28,1.48,1.69,1.39,631,333,1.89,114.73%,05/04/20
IBB,124.55,Call,125.00,05/15/20,11,2.40,2.58,2.75,2.40,1053,558,1.89,30.05%,05/04/20
TNA,19.97,Call,22.00,05/08/20,4,0.49,0.53,0.58,0.52,1034,549,1.88,147.19%,05/04/20
TQQQ,65.75,Call,65.00,05/08/20,4,3.15,3.22,3.30,3.20,3031,1614,1.88,102.76%,05/04/20
SPY,283.57,Call,291.00,05/06/20,2,0.24,0.25,0.25,0.24,12100,6441,1.88,26.26%,05/04/20
VXX,40.26,Put,38.00,05/08/20,4,0.63,0.66,0.68,0.66,13865,7369,1.88,93.93%,05/04/20
XLE,37.09,Put,34.00,05/08/20,4,0.21,0.27,0.32,0.23,1224,653,1.87,80.10%,05/04/20
TQQQ,65.75,Call,68.00,05/08/20,4,1.63,1.68,1.73,1.75,2381,1274,1.87,97.62%,05/04/20
GDX,33.99,Put,30.00,05/29/20,25,0.45,0.48,0.50,0.46,600,322,1.86,53.96%,05/04/20
IBB,124.55,Put,120.00,05/15/20,11,1.45,1.53,1.60,1.52,756,407,1.86,39.28%,05/04/20
SPY,283.57,Put,270.00,05/11/20,7,1.21,1.23,1.25,1.22,1986,1067,1.86,36.49%,05/04/20
TLT,167.16,Call,175.00,05/08/20,4,0.08,0.11,0.14,0.14,1051,567,1.85,28.54%,05/04/20
TQQQ,65.75,Call,71.00,05/08/20,4,0.65,0.73,0.80,0.70,740,405,1.83,87.31%,05/04/20
SPY,283.57,Call,303.00,06/12/20,39,2.35,2.39,2.43,2.48,959,523,1.83,23.44%,05/04/20
QQQ,215.22,Call,217.50,05/08/20,4,1.74,1.76,1.78,1.75,1757,963,1.82,30.20%,05/04/20
USO,19.67,Call,24.00,05/15/20,11,0.12,0.14,0.15,0.14,588,324,1.81,86.29%,05/04/20
XLRE,32.86,Put,24.00,11/20/20,200,1.10,1.23,1.35,1.15,1017,563,1.81,51.05%,05/04/20
GDX,33.99,Call,36.00,07/17/20,74,2.37,2.44,2.50,2.39,1370,763,1.8,52.04%,05/04/20
QQQ,215.22,Call,212.00,05/08/20,4,4.76,4.81,4.85,4.86,2976,1651,1.8,33.13%,05/04/20
FXA,64.23,Put,64.00,09/18/20,137,2.00,2.03,2.05,2.01,512,286,1.79,14.52%,05/04/20
DIA,237.42,Put,242.50,05/08/20,4,6.25,6.63,7.00,6.90,610,340,1.79,38.57%,05/04/20
ACWI,67.13,Put,65.00,06/19/20,46,2.20,2.3,2.40,2.65,2800,1564,1.79,39.18%,05/04/20
SQQQ,12.17,Call,11.50,05/08/20,4,0.85,0.88,0.90,0.90,630,354,1.78,99.85%,05/04/20
SPY,283.57,Put,274.00,05/11/20,7,1.90,1.92,1.94,1.71,665,374,1.78,33.51%,05/04/20
SPY,283.57,Put,271.00,05/08/20,4,0.88,0.9,0.91,0.87,4313,2418,1.78,40.79%,05/04/20
GLD,160.34,Put,160.00,05/22/20,18,2.70,2.74,2.78,2.78,633,357,1.77,21.12%,05/04/20
SPY,283.57,Call,279.00,05/11/20,7,7.00,7.05,7.09,7.54,577,327,1.76,31.37%,05/04/20
IWM,125.68,Put,105.00,06/30/20,57,2.42,2.47,2.51,2.50,2516,1427,1.76,52.59%,05/04/20
QQQ,215.22,Call,216.00,05/08/20,4,2.41,2.44,2.46,2.43,3909,2227,1.76,30.97%,05/04/20
USO,19.67,Put,18.00,05/08/20,4,0.30,0.32,0.33,0.34,1675,961,1.74,121.12%,05/04/20
FXI,37.62,Put,20.00,01/15/21,256,0.29,0.34,0.39,0.38,2013,1166,1.73,52.48%,05/04/20
UVXY,45.98,Call,50.00,05/08/20,4,1.65,1.88,2.10,1.75,1808,1054,1.72,169.21%,05/04/20
VXX,40.26,Call,54.00,06/19/20,46,2.30,2.33,2.35,2.36,6227,3630,1.72,109.81%,05/04/20
GDX,33.99,Put,34.00,06/19/20,46,2.43,2.53,2.63,2.49,832,492,1.69,52.30%,05/04/20
TNA,19.97,Call,23.00,05/08/20,4,0.27,0.29,0.31,0.28,972,582,1.67,139.96%,05/04/20
SPY,283.57,Put,277.50,05/08/20,4,2.11,2.14,2.17,2.15,3408,2042,1.67,39.01%,05/04/20
SPY,283.57,Put,282.00,05/08/20,4,3.56,3.59,3.61,3.63,9110,5503,1.66,37.16%,05/04/20
VXX,40.26,Put,42.00,05/08/20,4,2.76,2.82,2.88,2.67,1016,619,1.64,96.76%,05/04/20
XLE,37.09,Put,36.00,05/08/20,4,0.50,0.62,0.73,0.62,1037,632,1.64,70.81%,05/04/20
XLE,37.09,Call,38.00,05/08/20,4,0.49,0.58,0.66,0.55,1255,772,1.63,59.54%,05/04/20
GDX,33.99,Call,33.50,07/17/20,74,3.40,3.47,3.55,3.47,1279,784,1.63,52.54%,05/04/20
QQQ,215.22,Put,213.00,05/08/20,4,2.42,2.44,2.46,2.36,4946,3041,1.63,37.65%,05/04/20
SPY,283.57,Put,269.00,05/18/20,14,2.93,2.96,2.99,2.94,540,335,1.61,38.48%,05/04/20
QQQ,215.22,Call,217.00,05/08/20,4,1.95,1.97,1.99,1.96,3209,2010,1.6,30.43%,05/04/20
TNA,19.97,Call,21.00,05/08/20,4,0.83,0.86,0.89,0.89,1271,798,1.59,157.02%,05/04/20
UVXY,45.98,Put,45.00,05/15/20,11,3.80,4.05,4.30,4.23,558,353,1.58,150.02%,05/04/20
SPY,283.57,Call,255.00,08/21/20,109,37.84,37.97,38.09,37.93,1031,654,1.58,33.76%,05/04/20
XBI,95.43,Put,89.00,05/15/20,11,0.85,1.02,1.18,1.15,4070,2570,1.58,54.30%,05/04/20
SPY,283.57,Put,285.00,05/06/20,2,3.74,3.78,3.81,3.82,7068,4477,1.58,36.49%,05/04/20
IEF,121.73,Put,106.00,03/19/21,319,0.00,2.25,4.50,3.09,616,393,1.57,21.79%,05/04/20
SPY,283.57,Put,281.00,05/20/20,16,6.73,6.77,6.81,6.49,568,364,1.56,33.01%,05/04/20
SPY,283.57,Put,264.00,05/13/20,9,1.18,1.2,1.22,1.11,663,425,1.56,40.33%,05/04/20
SPY,283.57,Call,288.00,05/13/20,9,2.82,2.84,2.87,2.95,1094,700,1.56,26.88%,05/04/20
EEM,35.7,Put,34.00,05/08/20,4,0.13,0.16,0.18,0.17,3829,2452,1.56,49.82%,05/04/20
FAS,26.35,Call,27.00,05/08/20,4,0.79,0.89,0.99,0.89,711,459,1.55,106.45%,05/04/20
UNG,13.78,Put,13.00,06/19/20,46,0.88,1.02,1.15,0.92,978,630,1.55,67.78%,05/04/20
EEM,35.7,Call,35.50,05/08/20,4,0.62,0.7,0.78,0.67,557,363,1.53,37.77%,05/04/20
SPY,283.57,Put,270.00,05/08/20,4,0.77,0.78,0.79,0.79,45102,29453,1.53,41.76%,05/04/20
SQQQ,12.17,Put,11.00,05/15/20,11,0.25,0.28,0.30,0.27,1416,929,1.52,88.35%,05/04/20
SQQQ,12.17,Call,13.00,05/08/20,4,0.25,0.28,0.30,0.28,4594,3030,1.52,115.46%,05/04/20
SPY,283.57,Put,272.00,05/11/20,7,1.52,1.54,1.56,1.52,1021,676,1.51,35.74%,05/04/20
IWM,125.68,Call,127.00,05/08/20,4,1.87,1.9,1.93,2.00,1110,741,1.5,49.27%,05/04/20
TQQQ,65.75,Call,66.00,05/08/20,4,2.61,2.68,2.74,2.70,1261,842,1.5,102.51%,05/04/20
GDX,33.99,Put,33.50,05/08/20,4,0.62,0.67,0.72,0.65,1283,858,1.5,62.12%,05/04/20
TQQQ,65.75,Call,64.00,05/08/20,4,3.60,3.8,4.00,3.75,1730,1152,1.5,102.76%,05/04/20
SPY,283.57,Call,286.00,05/11/20,7,2.89,2.92,2.95,2.90,1366,916,1.49,25.23%,05/04/20
VXX,40.26,Put,36.00,05/08/20,4,0.19,0.22,0.24,0.21,3654,2456,1.49,90.53%,05/04/20
TNA,19.97,Call,24.00,05/08/20,4,0.13,0.16,0.18,0.15,883,597,1.48,137.34%,05/04/20
SLV,13.77,Call,12.00,10/16/20,165,2.41,2.43,2.45,2.48,2095,1412,1.48,39.87%,05/04/20
JETS,13.48,Put,12.00,05/15/20,11,0.25,0.3,0.35,0.25,2140,1444,1.48,88.25%,05/04/20
SQQQ,12.17,Call,12.50,05/08/20,4,0.40,0.43,0.45,0.43,2301,1552,1.48,112.55%,05/04/20
QQQ,215.22,Call,214.00,05/08/20,4,3.49,3.53,3.56,3.51,3711,2500,1.48,31.70%,05/04/20
QQQ,215.22,Put,220.00,07/17/20,74,15.00,15.07,15.13,15.03,520,354,1.47,32.87%,05/04/20
IWM,125.68,Call,130.50,05/15/20,11,1.73,1.75,1.77,1.97,710,483,1.47,43.98%,05/04/20
IWM,125.68,Put,126.00,05/08/20,4,3.20,3.23,3.25,3.24,1977,1349,1.47,58.74%,05/04/20
USO,19.67,Put,18.50,05/08/20,4,0.43,0.46,0.49,0.45,858,587,1.46,115.52%,05/04/20
XLK,90.08,Put,88.00,06/19/20,46,3.55,3.85,4.15,4.19,1292,887,1.46,41.52%,05/04/20
IWM,125.68,Call,140.00,06/30/20,57,1.75,1.79,1.82,1.85,2508,1717,1.46,31.78%,05/04/20
GDX,33.99,Call,37.00,09/18/20,137,3.20,3.28,3.35,3.36,759,525,1.45,53.88%,05/04/20
SPY,283.57,Put,284.00,05/11/20,7,5.03,5.07,5.11,4.98,963,662,1.45,30.61%,05/04/20
SPY,283.57,Call,277.00,05/08/20,4,7.83,7.88,7.92,7.91,1159,799,1.45,31.66%,05/04/20
GLD,160.34,Call,165.00,05/22/20,18,1.24,1.26,1.28,1.23,1170,806,1.45,20.60%,05/04/20
GLD,160.34,Call,160.50,05/15/20,11,2.15,2.18,2.20,2.18,649,452,1.44,20.06%,05/04/20
UNG,13.78,Put,13.00,05/08/20,4,0.05,0.16,0.26,0.16,813,566,1.44,79.83%,05/04/20
SPY,283.57,Put,277.00,05/11/20,7,2.59,2.62,2.64,2.40,926,648,1.43,32.55%,05/04/20
USO,19.67,Put,19.00,05/08/20,4,0.57,0.59,0.60,0.60,816,573,1.42,111.10%,05/04/20
SQQQ,12.17,Put,11.50,05/08/20,4,0.20,0.23,0.25,0.23,578,411,1.41,100.23%,05/04/20
IWM,125.68,Call,135.00,01/15/21,256,9.13,9.29,9.45,9.27,1001,711,1.41,29.89%,05/04/20
UVXY,45.98,Call,45.00,05/08/20,4,3.15,3.72,4.30,3.63,624,447,1.4,164.02%,05/04/20
SPY,283.57,Put,274.00,05/08/20,4,1.35,1.37,1.39,1.38,4209,2997,1.4,40.41%,05/04/20
SPY,283.57,Call,289.00,05/08/20,4,1.23,1.25,1.26,1.24,7086,5059,1.4,27.17%,05/04/20
SH,24.73,Call,26.00,06/19/20,46,0.80,0.85,0.90,0.80,1728,1242,1.39,36.93%,05/04/20
SPY,283.57,Put,280.00,05/13/20,9,4.41,4.45,4.48,4.22,1859,1339,1.39,33.26%,05/04/20
SPY,283.57,Put,276.00,06/30/20,57,12.01,12.06,12.11,11.85,1927,1384,1.39,35.38%,05/04/20
HYG,78.57,Call,81.00,07/17/20,74,1.26,1.31,1.35,1.35,3145,2267,1.39,16.01%,05/04/20
SPY,283.57,Call,288.00,05/08/20,4,1.55,1.57,1.59,1.57,11808,8501,1.39,27.76%,05/04/20
USO,19.67,Call,19.00,05/15/20,11,1.60,1.65,1.70,1.63,739,537,1.38,94.41%,05/04/20
SPY,283.57,Call,275.00,05/04/20,0,7.86,7.91,7.95,7.88,2120,1531,1.38,0.00%,05/04/20
QQQ,215.22,Put,214.00,05/08/20,4,2.80,2.83,2.85,2.82,2689,1942,1.38,38.04%,05/04/20
SLV,13.77,Call,14.00,05/08/20,4,0.15,0.16,0.16,0.15,5916,4272,1.38,42.68%,05/04/20
XBI,95.43,Call,95.00,05/15/20,11,2.95,3.08,3.20,2.84,985,718,1.37,39.44%,05/04/20
IWM,125.68,Call,130.00,05/08/20,4,0.86,0.87,0.88,0.85,6008,4399,1.37,45.26%,05/04/20
IWM,125.68,Put,104.00,09/18/20,137,4.99,5.05,5.10,5.36,750,557,1.35,49.20%,05/04/20
SPY,283.57,Call,275.00,05/06/20,2,8.42,8.47,8.51,8.82,883,652,1.35,29.86%,05/04/20
USO,19.67,Put,17.00,05/08/20,4,0.17,0.21,0.25,0.19,950,704,1.35,132.36%,05/04/20
SPY,283.57,Call,291.00,05/11/20,7,1.07,1.09,1.11,1.13,1521,1124,1.35,23.33%,05/04/20
SPY,283.57,Call,286.00,05/08/20,4,2.34,2.36,2.37,2.35,6239,4631,1.35,28.70%,05/04/20
GLD,160.34,Call,180.00,12/18/20,228,5.70,5.78,5.85,5.95,516,385,1.34,24.56%,05/04/20
TQQQ,65.75,Call,64.00,05/15/20,11,5.40,5.53,5.65,5.40,578,435,1.33,99.33%,05/04/20
TQQQ,65.75,Put,70.00,05/15/20,11,6.45,6.63,6.80,6.80,602,452,1.33,93.06%,05/04/20
VXX,40.26,Call,44.00,05/08/20,4,0.68,0.71,0.73,0.70,1444,1088,1.33,116.54%,05/04/20
XOP,52.59,Call,59.00,05/08/20,4,0.15,0.16,0.16,0.15,580,439,1.32,76.32%,05/04/20
JETS,13.48,Put,12.00,06/19/20,46,1.05,1.1,1.15,1.06,649,491,1.32,95.18%,05/04/20
SPY,283.57,Call,283.00,05/13/20,9,5.38,5.42,5.45,5.50,819,622,1.32,29.10%,05/04/20
UNG,13.78,Call,14.50,05/08/20,4,0.19,0.21,0.22,0.19,915,692,1.32,78.47%,05/04/20
VXX,40.26,Put,37.00,05/08/20,4,0.35,0.38,0.41,0.37,1990,1510,1.32,90.33%,05/04/20
XLU,56.3,Put,50.00,06/19/20,46,0.76,0.96,1.15,0.98,1180,901,1.31,42.79%,05/04/20
XLY,112.85,Call,112.00,05/15/20,11,3.10,3.2,3.30,3.15,1316,1006,1.31,34.43%,05/04/20
QQQ,215.22,Put,218.00,05/15/20,11,6.53,6.58,6.63,6.60,8398,6434,1.31,34.28%,05/04/20
SPY,283.57,Put,150.00,11/20/20,200,1.53,1.55,1.57,1.56,8922,6794,1.31,52.24%,05/04/20
SPY,283.57,Call,285.00,05/08/20,4,2.80,2.82,2.84,2.84,16688,12695,1.31,29.41%,05/04/20
SPY,283.57,Put,268.00,05/22/20,18,3.85,3.88,3.90,3.63,1421,1089,1.3,38.90%,05/04/20
SPY,283.57,Put,269.00,05/08/20,4,0.65,0.67,0.68,0.57,2680,2074,1.29,40.02%,05/04/20
SPY,283.57,Put,275.00,05/22/20,18,5.48,5.52,5.55,5.46,2996,2325,1.29,37.12%,05/04/20
TQQQ,65.75,Put,64.00,05/08/20,4,1.92,2.01,2.09,2.09,628,492,1.28,106.54%,05/04/20
SPY,283.57,Put,281.00,05/29/20,25,8.50,8.54,8.58,8.47,801,625,1.28,33.33%,05/04/20
XLK,90.08,Call,88.00,06/19/20,46,5.40,5.75,6.10,5.85,1255,983,1.28,36.97%,05/04/20
TQQQ,65.75,Put,70.00,05/08/20,4,4.95,5.15,5.35,5.34,1574,1230,1.28,95.62%,05/04/20
SPY,283.57,Put,277.00,05/08/20,4,1.99,2.02,2.04,2.04,3802,2980,1.28,39.39%,05/04/20
SPY,283.57,Put,279.00,05/18/20,14,5.39,5.43,5.46,5.30,554,436,1.27,33.77%,05/04/20
SHY,86.6,Put,87.00,01/21/22,627,0.00,1.1,2.20,1.79,830,654,1.27,5.51%,05/04/20
TQQQ,65.75,Call,67.00,05/08/20,4,2.10,2.14,2.17,2.20,1000,789,1.27,100.21%,05/04/20
SPY,283.57,Put,266.00,05/08/20,4,0.40,0.41,0.42,0.43,2287,1796,1.27,43.01%,05/04/20
GDX,33.99,Call,35.00,05/08/20,4,0.44,0.49,0.54,0.45,4299,3389,1.27,59.77%,05/04/20
SPY,283.57,Call,289.00,05/06/20,2,0.50,0.51,0.51,0.52,4552,3586,1.27,26.85%,05/04/20
EEM,35.7,Call,36.00,05/08/20,4,0.43,0.48,0.53,0.45,7295,5740,1.27,39.12%,05/04/20
SPY,283.57,Call,320.00,06/05/20,32,0.19,0.2,0.21,0.20,940,744,1.26,21.12%,05/04/20
SPY,283.57,Call,298.00,05/22/20,18,1.40,1.42,1.43,1.54,1767,1400,1.26,24.23%,05/04/20
SPY,283.57,Call,300.00,06/12/20,39,3.23,3.27,3.31,3.44,514,412,1.25,24.59%,05/04/20
TNA,19.97,Call,21.50,05/08/20,4,0.55,0.63,0.70,0.67,676,542,1.25,149.49%,05/04/20
FXE,102.94,Put,105.00,06/18/21,410,4.15,4.3,4.45,4.35,1007,805,1.25,9.33%,05/04/20
SPY,283.57,Call,293.00,05/13/20,9,1.14,1.16,1.18,1.35,1081,864,1.25,25.38%,05/04/20
IWM,125.68,Put,105.00,05/29/20,25,0.92,0.94,0.96,0.90,1155,927,1.25,56.34%,05/04/20
SDS,23.96,Call,26.00,05/08/20,4,0.15,0.16,0.17,0.17,1169,936,1.25,78.00%,05/04/20
GLD,160.34,Call,161.50,05/08/20,4,0.81,0.83,0.84,0.82,1484,1186,1.25,19.51%,05/04/20
SPY,283.57,Call,280.00,05/08/20,4,5.69,5.73,5.77,5.67,15444,12357,1.25,30.42%,05/04/20
SPY,283.57,Put,268.00,05/08/20,4,0.56,0.57,0.58,0.54,4085,3298,1.24,41.47%,05/04/20
"Downloaded from Barchart.com as of 05-04-2020 10:18pm CDT"
